"Note","Description"
"2,5","2 ans pile après la dernière affiche que j'ai vu avant le Covid, le hérisson bleu revient dans une nouvelle aventure quelque peu, on ne pas se le cacher, facile à suivre voir même, trop simpliste avec bien des moments moyennement utiles. Un second volet ou je n'peux très clairement pas acclamer la qualité visuelle tant cette dernière ne fait, ni honneur au studio produisant et distribuant le film, ni au genre du film. Une qualité approximative qui me déçois clairement et montre pour la Paramount, une baisse qualitative, cela étant bien dommage quand au nombre bien maigre de films sortis en salle sous le label montagneux. Sur le plan sonore par contre rien à dire les oreilles en auront largement pris pour leur grade. Sur les jeux respectif, je maintiens mon ""dégoût"" de voir le roi comique américain Jim Carrey sous les traits de Robotnik puisque ce dernier caricature, abuse et surdose les grimaces, humour ""guignolesque"" et gestuelles en tous d'un personnage, bien plus ""enrober"" de base et nettement plus sérieux et crédible dans la série animée. Puis le script de nos héros animés qui, personnellement, est d'une autre époque, trop simplet voir même, trop gentillet, trop de politesse pour un film qui mériterait un peu plus de familiarité verbale sans non plus aller se risquer d'aller dans la vulgarité. Un nouvel ennemi finalement allié qui lui aussi, hérite d'un script aussi simplet que trop banal (incohérence par rapport au programme animé), puis des personnages secondaires, humains cette fois-ci, en roue assez libre, seul Tika Sumpter parvient à rendre son jeu plus ""adulte"". Enfin, le final nous offre nombre de plans héroïques, ressemblance à l'univers Marvel / DC savoureuses avec quelques clins d'œil notables, et l'affrontement ultime très épique. Un N°2 à demi teinte qui me laisse perplexe sur l'évident 3ème volet dont la scène post-générique nous en fait l'annonce avec une énième nouvelle ennemi en devenir, mais à force d'obtenir un parler trop simplet, un visuel aux limites du décevant et une dose presque insupportable de fioritures verbale, me rendre en salle pour la 3ème affiche reste à être questionner. Pour cela, des changements radicaux, il faut entreprendre."
"1,5","Comment peut on aimé ce film, passé l'âge de 12,13 ans ?Blague niveau cours de récré, les personnages sont tous plus énervant les uns que les autres (mention spéciale pour la soeur dans la scène du mariage, qui est l'un de mes plus grand moment de gêne au cinéma) c'est tellement mal joué !!! Quel dommage de voir Jim Carrey dans cette bouillie de cinéma. Le scénario est débile et fainéant. Nos enfants ne mérite pas de s'abrutir devant ce film. Seul petit point positif certain effets spéciaux sont plutôt sympa, pas tous car souvent ils sont vraiment moche."
"5,0","c est un chef d oeuvre déja le 1 était excellent mais dans le deux on se rent compte du pouvoir du mécant l homme a la moustache et de l amitié de la gentiellesse et de se rendre compte qu aider les autre est important."
"4,5","En tant que grand fan de Sonic, j'aurais jamais cru voir un jour un film comme ça au cinéma : C'ÉTAIT INCROYABLE !Ce film est une vraie réussite pour moi, il y a exactement tout ce que j'attendais d'un film Sonic, c'est une véritable lettre d'amour au fans de la licence !Déjà que j'avais bien aimé le 1er film mais alors ce 2e film le surpasse largement à tous les niveaux, il le surpasse tellement qu'on aurait limite l'impression que le 1er film n'était qu'un ""prototype"" en comparaison !En terme d'histoire et d'adaptation des jeux, si le 1er film s'inspirait de ""Sonic 1"", alors ce 2e film s'inspire à la fois de ""Sonic 2"" et ""Sonic 3 & Knukles"" !Le scénario est non seulement bien meilleur que le 1er film mais aussi beaucoup plus ambitieux, le lore de Sonic est encore plus exploité (Tails, Knukles, le peuple Echidné, les Chaos Emerauld,...), avec même des lieux du film qui sont directement inspirés des environnements des jeux : comme par exemple les montagnes enneigées de Sibérie qui font référence à ""Ice Cap Zone"", où même le temple perdu à Hawaï qui fait référence à ""Labyrinth Zone"" et ""Hidden Palace"" !On à 2 fois plus d'actions, 2 fois plus d'aventures, 2 fois plus de fun et 2 fois plus de références et de clins d'œil à la licence, avec aussi des références à Sonic Adventure 1, Sonic Adventure 2, Sonic Heroes et même à l'animé Sonic X !Les personnages sont tous très bons aussi : Sonic reste le héros fidèle à lui même qu'on connait, Tom & Maddie sont toujours aussi sympas, Jim Carrey en Robotnik est encore plus excellent que dans le 1er film et Tails & Knukles sont super cools, bien introduit et totalement fidèles à leurs versions dans les jeux !Et surtout le climax du film qui est absolument génial : le trio Sonic/Tails/Knukles = INCROYABLE, le fait d'avoir la ""Team Sonic"" de ""Sonic Heroes"" en action dans le film était tellement jouissif, 
spoiler: 
et l'apparition de Super Sonic qui était juste énorme en plus d'être totalement inattendu (en tout cas perso je ne l'avais pas vu venir, et quand je l'ai vu c'était magnifique)
 !Le seul vrai défaut du film pour moi c'est la VF, j'ai toujours du mal avec Malik Bentalha !Autant dans le film précédent je l'avais à peu près toléré justement parce qu'il était tout seul au doublage mais alors la c'est encore pire, parce que non seulement sa voix ne colle pas du tout avec Sonic mais en plus quand on le met à côté des voix française de Tails et de Knukles (qui elles pour le coup sont excellentes), on sent qu'il y a un vrai décalage entre les 3 et ça fait tache, c'est trop dommage !Ensuite on a la scène post-credit 
spoiler: 
qui nous tease l'arrivée de Shadow dans le 3e film, et là je suis partagé : d'un côté je suis content et hypé mais en même temps ça me fait quand même un peu peur, personnellement je trouve que c'est encore trop tôt pour nous introduire Shadow directement maintenant, à voir par la suite
 !Sinon voilà : ce film est excellent, je l'ai adoré et je suis très hypé pour le 3 !En plus Paramount a confirmé qu'ils travaillent maintenant sur un ""Sonic Cinematic Universe"", c'est trop génial, je suis trop content et j'ai hâte de voir ce que ça va donner, ça va être INCROYABLE !"
"4,0","Sonic 2 est un film honorable avec un peu de fan services de l'action et un Jim Carrey au meilleur de sa forme.J'ai trouvé que ce sequel était plus sérieux que le premier et également bient plus surprenant que le premier, celon moi ce film est une adaptation de qualité pour le hérison de Sega qui arrive enfin à faire bonne impresion grâce au cinéma. Pour finir j'ai passer un agréable moment à regarder ce film et je le recommande absolument pour les fans du hérison bleu."
"4,0","Idéal pour un aprem en famille ! On reste dans la veine du 1er opus ou on arrive en quelques sortes a sa suite direct et le retour du gros méchant Dr Robotnik... Comme dans l histoire précédente, on connaît vaguement la finalité... Mais pour cela, Sonic tient les rennes avec Knucles qui rappellera de nombreux souvenirs sans doute aussi aux parents qui ont pu le connaître lorsqu'il était présent dans le jeu vidéo... Un visuel clair, une trame posé assez vite ; mais ne manquant pas de nous emmener avec pour le reste des aventures que Sonic et son ami vont devoir faire face pour la survie de la planète. Bref, cette suite se veut simple, dans le sens du premier opus (là où le réal aurait pu tenter d innover ou exploiter de nouvelles choses mais cela aurait été un pari plus risqué). Et nous offre un film ni trop court ni trop long ou l'on ressort ayant passé un bon petit moment."
"4,0","Une agréable suite des aventures de Sonic !! C'est divertissant et fun avec l'arrivée de nouveaux persos !! Le casting original est de retour et Jim Carrey est toujours aussi dingo !! C'est rythmés et le film est parsemé de petits clins d'oeil aux jeux vidéos !! Les effets spéciaux sont de qualité !! Le trio Sonic Tails Knucklles sont parfaits !!"
"3,0","Très bien pour les enfants, dans la lignée du 1er. Jim Carrey dans un rôle sur mesure. De bonnes valeurs au niveau du scénario mais hélas encore quelques placements de produits, ce qui est toujours un peu dérangeant dans un film pour jeune public."
"5,0","Ce deuxième volet est une totale réussite. Le scénario est réussi, le film est bien rythmé et bien mis en scène, c'est drôle, et les effets spéciaux sont top ! On a beaucoup de références aux jeux vidéo de Sonic, pour les connaisseurs. Il y a quelques petites différences par rapport aux jeux vidéo, par exemple le fait que la tâche de Knuckles est de garder et de protéger la Master Emerald, et non de partir à sa recherche pour son pouvoir. Mais on comprend ces changements dans le but de nous pondre un bon scénario. Et sinon, Jim Carrey est toujours excellent dans son rôle de Dr Robotnik. Bref, on a là un super divertissement, et en tant que fan de Sonic, j'ai été ravi !"
"3,0","Jim Carrey de retour dans Sonic 2.et je dois dire que c'est lui qui vole la notoriété de Sonic et des autres. il excelle dans son rôle.. un rôle diamanté pour lui et son personnage. maintenant le film en lui même n'est pas mauvais , l'intrigue. le scénario la mise en forme sont plutôt bien faits. ceci dit beaucoups de.mea culpa scénarial sont inutiles comme la très longue'partie 1 et ses dérives... quand vient la partie 2 je me sens dans mon jeu vidéo. sa me plaît et là je suis content. la lumière, le cadrage les plans d'actions et drôles... Robotnik qui s'élève les babines.. bien.. il a fallu attendre 1heure pour voir tout sa.. ok. mais la fin est très rapide.. beaucoups trop rapide a la Sonic... alors que des scènes inutiles..elles.. sont longues et ennuyeuses.. ils auraient pu se focaliser sur la fin.. dommage. un film à voir. surtout pour le dieu Jim Carrey"
"5,0","Franchement, un excellent film, je l'ai trouvé beaucoup que Sonic 1 qui était déjà un très bon film !!! Les acteurs sont excellents, les gags s'enchaînent, les scènes d'actions et de combats sont très bien réalisé, les décors sont magnifiques, les effets spéciaux sont incroyables et la musique est superbe. Le film est extrêmement bien rythmée, pas le temps de s'ennuyer une seule seconde. Aucune longueur, aucun temps morts. Une superbe suite. Le scénario et les dialogues sont très bien écrits. J'aime encore plus le doublage de Malik Bentalha dans ce second opus que dans le premier. Bref, un très bon film, une très bonne suite que je vous conseillerais d'aller voir !!! Il vaut trop le coup. Attention, restez jusqu'au milieu du générique, il y a une scène mid-générique qui annonce du lourd pour la suite !!! Vivement la sortie de Sonic 3"
"4,0","Un très bon film. Un très deuxième volet des aventures de Sonic face au docteur Robotnik et Knuckles aidé par Tails dans la ville de Seattle."
"3,0","sonic 2 est un film pour gosse. voilà le gros problème du film, le 1 avait de l'idée et nous fesait un sympathique buddy movir, la c'est un film mal fini avec ses effet spéciaux et en bonne partie mal écrit, sa met des couleur flashi pour la gamin et des références pour les fan. espérons que le 3 sera meilleur car la meilleur scène du film c'est le post-générique"
"3,5","Le film était vraiment pas mal ! Action, humour, Jim Carrey en plein délire, robot et personnages nouveaux, vraiment une bon moment !"
"1,0","Sonic 2, le film est la suite directe de Sonic, le film. Il est à nouveau réalisé par Jeff Fowler. Ce film est le même que le 1er avec une demi-heure en plus et plus de moyens : mêmes enjeux inintéressants, mêmes acteurs plats avec des rôles mal écrits, même Jim Carrey qui cabotine, mêmes effets spéciaux qui dégueulent de partout. Pour résumé : c'est le même film que le 1er, donc il mérite la même note. Adapté pour les enfants de 8 ans, les autres passez votre chemin."
"2,0","Dans son ensemble, le film est plutôt ""meh"".Le film n'est pas mauvais dans son ensemble mais il y a beaucoup d'éléments qui gâchent un peu certaines scènes et certaines actions. Tout d'abord, parlons de l'humour. JE SAIS que Sonic est à la base un personnage ""comique"" qui prend beaucoup des situations à la légère, mais dans ce film, même durant les moments de tensions, l'humour constant de Sonic par ses blagues et ses gestuels plombent un peu ces scènes. Et il n'y a pas que Sonic. Je ne sais pas si c'est un défaut de la version française, mais les dialogues de Robotnik et Knuckles sont soit trop forcés pour le premier, soit tellement mou/1er degré pour le deuxième que la différence entre les dialogues et l'action me sort complètement de l'immersion.Maintenant, parlons du plus gros problème (a mes yeux) de ce film : les clichés. Durant tout le film, on a une sorte de leçon de morale sur ""les super héros font ceci, pas cela"", ""la famille et les amis ces important"" et blablabla... Encore, si ça avait été subtile, j'aurais rien dit, mais durant TOUT le film on te martel ces leçons de moral tellement fort dans la tête que ça te donne des migraines.Et enfin, pour les personnages (et l'évolution des personnages durant le film) : comparé au premier film où Robotnik était juste un géni fou un peu narcissique et égocentrique sur les bords, deviens un véritable maboule sous extasie et gaz hilarant durant tout le film lui aussi. Et Knuckles, (là encore je ne sais pas si c'est la faute à la VF), bien qu'il ai eu une évolution intéressante durant la première moitié du film (mis à par son 1er degré plutôt lourd), une fois qu'il 
spoiler: 
devient amis amis avec Tails et Sonic
, se ramolli totalement question caractère pour devenir une sorte de tsundere vers la fin du film. Et pour les autres persos, (la encore, faute à la VF?), leurs dialogues sont tellement forcés et focus sur l'humour que tu ne sait plus si tu regarde un film ou une pièce de théâtre comique.Et pour la scène post générique 
spoiler: 
avec l'introduction d'un nouveau perso
... Aïe... si vous connaissez la licence de Sonic, vous savez de quoi je parle... je m'attend au pire pour le 3.Oh et la 3D et les VFX étaient bizarres à certains moments."
"2,0","C’est pas terrible, je le trouve un petit peu mieux que le premier film, mais de pas énormément. C’est-à-dire que ce deuxième opus est fidèle à l’univers instauré mais je n’en suis pas friand.La réalisation est très classique, mais elle est satisfaisante, elle n’est pas nulle mais elle n’est pas exceptionnelle. Le metteur en scène sait rendre impressionnant le personnage de Knuckles, même si les effets spéciaux sont beaucoup trop cartoonesques ; que ce soit les protagonistes ou les explosions et autres.Sinon le scénario est très enfantin, il n’y a rien de moins original que l’histoire présentée. Le retour du personnage de Jim Carrey est assez bien écrit, même si je pense que son personnage manque de profondeur, le background de Knuckles ou de Tails sont bien développés, et Sonic va dans la continuité du premier film. Les blagues sont parfois en trop, et parfois peuvent nous faire décrocher un sourire.Je conseille ce film, mais il ne faut pas s’attendre à un bon film, je le trouve d’ailleurs un peu trop long, avec un rythme bancal : le film gagnerait en qualité si on retirait les séquences avec les humains, qui font un peu trop film à sketchs."
